Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Silkwoodová,7/29/2019,14:00,7/29/2019,16:21,False,"Mike Nichols / USA 1983 / 131 min. / 15 let / Blu-ray
https://www.csfd.cz/film/6982-silkwoodova/prehled/
https://www.imdb.com/title/tt0086312/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Silkwood","Uherské Hradiště, Kino Mír"
Silkwoodová,8/1/2019,15:00,8/1/2019,17:21,False,"Mike Nichols / USA 1983 / 131 min. / 15 let / Blu-ray
https://www.csfd.cz/film/6982-silkwoodova/prehled/
https://www.imdb.com/title/tt0086312/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Silkwood","Uherské Hradiště, Klub kultury 1"
Modrooký Ježíšek,7/31/2019,17:30,7/31/2019,18:17,False,"Jean Eustache / Francie 1966 / 47 min. / 35mm
https://www.csfd.cz/film/59891-le-pere-noel-a-les-yeux-bleus/komentare/
https://www.imdb.com/title/tt0060872/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Santa-With-Blue-Eyes","Uherské Hradiště, Reduta 1"
Znamení lva,7/30/2019,11:00,7/30/2019,13:03,False,"Éric Rohmer / Francie 1959 / 103 min. / DCP
https://www.csfd.cz/film/37990-znameni-lva/prehled/
https://www.imdb.com/title/tt0053279/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Sign-of-the-Lion","Uherské Hradiště, Slovácké divadlo"
Budiž světlo,8/1/2019,20:30,8/1/2019,22:48,False,"Marko Škop / Česká republika, Slovensko 2019 / 93 min. / 15 let / DCP
https://program.lfs.cz/detail/?film=Let-There-Be-Light","Uherské Hradiště, Kino Hvězda"
Nelidská (hudba: 8848),8/2/2019,14:30,8/2/2019,16:53,False,"Marcel L'Herbier / Francie 1924 / 133 min. / DCP
https://www.imdb.com/title/tt0015014/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=The-Inhuman-Woman","Uherské Hradiště, Kino Hvězda"
Třicet,8/3/2019,17:00,8/3/2019,19:04,False,"Simona Kostovová / Německo 2019 / 114 min. / 15 let / DCP
https://www.csfd.cz/film/693203-dreissig/komentare/
https://www.imdb.com/title/tt9695764/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Dreissig","Uherské Hradiště, Slovácké divadlo"
Bumerang,7/27/2019,19:30,7/27/2019,21:49,False,"Hynek Bočan / Česká republika 1996 / 94 min. / 15 let / HD file
https://www.csfd.cz/film/804-bumerang/prehled/
https://www.imdb.com/title/tt0115784/?ref_=fn_tt_tt_16
https://program.lfs.cz/detail/?film=Boomerang","Uherské Hradiště, Kino Hvězda"
Bumerang,8/1/2019,21:00,8/1/2019,22:44,False,"Hynek Bočan / Česká republika 1996 / 94 min. / 15 let / HD file
https://www.csfd.cz/film/804-bumerang/prehled/
https://www.imdb.com/title/tt0115784/?ref_=fn_tt_tt_16
https://program.lfs.cz/detail/?film=Boomerang","Uherské Hradiště, Reduta 1"
Jan Jílek uvádí,8/4/2019,11:00,8/4/2019,13:10,False,"120 min.
https://program.lfs.cz/detail/?film=Jan-J%c3%adlek-presents","Uherské Hradiště, Kino Hvězda"
Úsměvy smutných mužů,7/28/2019,23:59,7/29/2019,1:31,False,"Dan Svátek / Česká republika 2018 / 92 min. / DCP
https://www.csfd.cz/film/536245-usmevy-smutnych-muzu/prehled/
https://www.imdb.com/title/tt8526824/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=The-Smiles-of-Sad-Men","Uherské Hradiště, innogy letní kino Masarykovo nám."
Toman,7/30/2019,15:00,7/30/2019,17:35,False,"Ondřej Trojan / Česká republika, Slovensko 2018 / 145 min. / DCP
https://www.csfd.cz/film/472294-toman/prehled/
https://www.imdb.com/title/tt6283474/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Toman","Uherské Hradiště, Klub kultury 1"
Bohemian Rhapsody,8/3/2019,21:30,8/3/2019,23:43,False,"Bryan Singer / Velká Británie, USA 2018 / 133 min. / DCP
https://www.csfd.cz/film/300902-bohemian-rhapsody/prehled/
https://www.imdb.com/title/tt1727824/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Bohemian-Rhapsody","Uherské Hradiště, innogy letní kino Masarykovo nám."
Čertí brko,7/28/2019,22:00,7/28/2019,23:39,False,"Marek Najbrt / Česká republika, Slovensko 2018 / 99 min. / DCP
https://www.csfd.cz/film/530191-certi-brko/prehled/
https://program.lfs.cz/detail/?film=The-Magic-Quill","Uherské Hradiště, innogy letní kino Masarykovo nám."
Paříž nám patří,7/29/2019,17:30,7/29/2019,20:06,False,"Jacques Rivette / Francie 1961 / 136 min. / 15 let / 35mm
https://www.csfd.cz/film/37462-pariz-patri-nam/prehled/
https://www.imdb.com/title/tt0054156/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Paris-Is-Ours","Uherské Hradiště, Reduta 1"
Studentské vysílání ’89,7/30/2019,14:00,7/30/2019,15:30,False,"90 min.
https://program.lfs.cz/detail/?film=Studentsk%c3%a9-vys%c3%adl%c3%a1n%c3%ad-%e2%80%9989","Uherské Hradiště, Stan ČT"
Berlín: Symfonie velkoměsta (hudba: Bennewitzovo kvarteto),7/31/2019,14:30,7/31/2019,15:42,False,"Walther Ruttmann / Německo 1927 / 62 min. / DCP
https://www.csfd.cz/film/166659-berlin-symfonie-velkomesta/prehled/
https://www.imdb.com/title/tt0017668/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Berlin--A-Symphony-of-a-Big-City","Uherské Hradiště, Kino Hvězda"
"Filmová dílna: Vyzkoušej si, jak se dělají ruchy do filmu!",7/29/2019,13:00,7/29/2019,13:45,False,"45 min.
https://program.lfs.cz/detail/?film=Film-Workshop--Master-the-Art-of-Foley-Making!","Uherské Hradiště, Reduta 3"
"Filmová dílna: Vyzkoušej si, jak se dělají ruchy do filmu!",7/29/2019,13:45,7/29/2019,14:30,False,"45 min.
https://program.lfs.cz/detail/?film=Film-Workshop--Master-the-Art-of-Foley-Making!","Uherské Hradiště, Reduta 3"
Tiché doteky,7/26/2019,17:30,7/26/2019,19:50,False,"Michal Hogenauer / Česká republika, Nizozemsko, Lotyšsko 2019 / 95 min. / DCP
https://www.csfd.cz/film/730558-tiche-doteky/galerie/?type=1
https://www.imdb.com/title/tt7431040/?ref_=nv_sr_2?ref_=nv_sr_2
https://program.lfs.cz/detail/?film=A-Certain-Kind-of-Silence","Uherské Hradiště, Klub kultury 1"
Tiché doteky,8/1/2019,8:30,8/1/2019,10:15,False,"Michal Hogenauer / Česká republika, Nizozemsko, Lotyšsko 2019 / 95 min. / DCP
https://www.csfd.cz/film/730558-tiche-doteky/galerie/?type=1
https://www.imdb.com/title/tt7431040/?ref_=nv_sr_2?ref_=nv_sr_2
https://program.lfs.cz/detail/?film=A-Certain-Kind-of-Silence","Uherské Hradiště, Kino Hvězda"
Lekce filmu podle Lecha Majewského,7/30/2019,13:30,7/30/2019,15:00,False,"2019 / 90 min.
https://program.lfs.cz/detail/?film=Masterclass--Lech-Majewski","Uherské Hradiště, Klub kultury 2"
3/4,8/1/2019,14:30,8/1/2019,16:03,False,"Ilian Metev / Bulharsko, Německo 2017 / 83 min. / DCP
https://www.csfd.cz/film/534037-3-4/prehled/
https://www.imdb.com/title/tt7133384/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=3%2f4","Uherské Hradiště, Slovácké divadlo"
Kibera: Příběh slumu,7/28/2019,12:00,7/28/2019,14:15,False,"Martin Páv / Česká republika 2018 / 90 min. / DCP
https://www.csfd.cz/film/645452-kibera-pribeh-slumu/prehled/
https://program.lfs.cz/detail/?film=Vote-for-Kibera","Uherské Hradiště, Sportovní hala"
Kibera: Příběh slumu,7/31/2019,8:30,7/31/2019,10:10,False,"Martin Páv / Česká republika 2018 / 90 min. / DCP
https://www.csfd.cz/film/645452-kibera-pribeh-slumu/prehled/
https://program.lfs.cz/detail/?film=Vote-for-Kibera","Uherské Hradiště, Kino Hvězda"
Stehy,7/26/2019,23:30,7/27/2019,1:25,False,"Miroslav Terzič / Bosna a Hercegovina, Srbsko, Slovinsko, Chorvatsko 2019 / 105 min. / DCP
https://www.csfd.cz/film/650190-stehy/galerie/?type=1
https://www.imdb.com/title/tt7319312/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Stitches","Uherské Hradiště, Kino Hvězda"
Stehy,8/1/2019,18:00,8/1/2019,19:55,False,"Miroslav Terzič / Bosna a Hercegovina, Srbsko, Slovinsko, Chorvatsko 2019 / 105 min. / DCP
https://www.csfd.cz/film/650190-stehy/galerie/?type=1
https://www.imdb.com/title/tt7319312/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Stitches","Uherské Hradiště, Sportovní hala"
